date,open,close,high,low,volume,code
2017-03-13,27.692,27.568,28.131,27.31,958116.0,000651
2017-03-14,27.578,27.415,27.654,27.196,611493.0,000651
2017-03-15,27.444,27.979,28.217,27.31,782324.0,000651
2017-03-16,28.065,27.912,28.456,27.749,649655.0,000651
2017-03-17,27.902,27.511,28.151,27.501,565883.0,000651
2017-03-20,27.769,27.94,28.122,27.587,661259.0,000651
2017-03-21,28.074,28.972,28.981,27.912,1135841.0,000651
2017-03-22,28.771,29.124,29.306,28.657,865700.0,000651
2017-03-23,29.01,29.793,29.85,28.819,865868.0,000651
2017-03-24,29.946,30.118,31.206,29.879,1282813.0,000651
2017-03-27,30.089,29.325,30.757,29.296,1043188.0,000651
2017-03-28,29.363,29.411,29.755,28.886,754173.0,000651
2017-03-29,29.401,29.793,29.974,29.105,657345.0,000651
2017-03-30,29.678,29.335,29.946,28.743,764243.0,000651
2017-03-31,29.258,30.27,30.27,29.163,825606.0,000651
2017-04-05,30.318,30.041,30.5,29.85,986518.0,000651
2017-04-06,29.974,30.557,30.557,29.774,739795.0,000651
2017-04-07,30.49,30.375,31.13,30.318,805843.0,000651
2017-04-10,30.375,30.098,30.5,29.993,542802.0,000651
2017-04-11,29.993,29.44,30.165,28.38,1249299.0,000651
2017-04-12,29.124,29.421,29.688,28.838,585433.0,000651
2017-04-13,29.401,29.841,29.946,29.258,520230.0,000651
2017-04-14,29.831,29.296,29.841,29.287,405185.0,000651
2017-04-17,29.411,30.318,30.318,29.373,815712.0,000651
2017-04-18,30.366,30.776,31.063,30.223,1029569.0,000651
2017-04-19,30.748,31.712,31.712,30.585,1228986.0,000651
2017-04-20,31.731,31.531,32.639,31.512,1082989.0,000651
2017-04-21,31.369,31.426,31.856,31.101,749581.0,000651
2017-04-24,31.321,31.044,31.798,30.566,643257.0,000651
2017-04-25,31.139,32.314,32.352,31.101,919470.0,000651
2017-04-26,32.467,31.922,33.412,31.779,1403738.0,000651
2017-04-27,32.142,32.066,32.276,31.273,1059194.0,000651
2017-04-28,32.142,31.512,32.18,31.044,1027204.0,000651
2017-05-02,31.225,31.483,31.598,30.805,791127.0,000651
2017-05-03,31.493,31.178,31.779,31.044,700248.0,000651
2017-05-04,31.187,31.187,31.435,30.967,473852.0,000651
2017-05-05,31.025,31.292,31.569,30.901,781966.0,000651
2017-05-08,31.13,30.251,31.512,30.232,923337.0,000651
2017-05-09,30.127,29.755,30.127,29.182,963494.0,000651
2017-05-10,30.032,30.06,30.528,29.888,704273.0,000651
2017-05-11,29.888,31.397,31.416,29.764,989165.0,000651
2017-05-12,31.483,31.579,31.645,31.101,668098.0,000651
2017-05-15,31.579,31.54,31.798,31.302,524782.0,000651
2017-05-16,31.321,32.066,32.066,31.044,766197.0,000651
2017-05-17,31.913,31.435,32.419,31.397,806615.0,000651
2017-05-18,31.225,31.168,31.483,31.044,420488.0,000651
2017-05-19,31.254,31.607,31.865,31.244,555867.0,000651
2017-05-22,31.655,32.295,32.352,31.33,772157.0,000651
2017-05-23,32.276,32.457,32.639,32.104,850163.0,000651
2017-05-24,32.218,32.228,32.467,31.703,684405.0,000651
2017-05-25,31.989,32.075,32.457,31.903,465467.0,000651
2017-05-26,32.161,32.533,32.753,32.132,560988.0,000651
2017-05-31,32.6,32.543,32.658,31.941,707873.0,000651
2017-06-01,32.39,32.438,32.734,32.323,503855.0,000651
2017-06-02,32.495,31.989,32.543,31.798,591040.0,000651
2017-06-05,31.865,31.77,32.18,31.703,390841.0,000651
2017-06-06,31.77,32.715,32.753,31.77,792733.0,000651
2017-06-07,32.801,33.04,33.422,32.619,962071.0,000651
2017-06-08,33.135,34.615,34.701,33.116,1136670.0,000651
2017-06-09,34.615,34.415,35.427,34.243,1144057.0,000651
2017-06-12,34.376,35.876,35.876,34.281,991375.0,000651
2017-06-13,35.475,35.666,35.79,35.293,668783.0,000651
2017-06-14,35.685,34.787,36.095,34.529,877246.0,000651
2017-06-15,34.844,34.892,35.274,34.376,702470.0,000651
2017-06-16,34.797,34.367,35.188,34.3,656170.0,000651
2017-06-19,34.481,35.627,35.656,34.434,761607.0,000651
2017-06-20,36.0,35.627,36.143,35.265,857317.0,000651
2017-06-21,35.904,36.802,36.869,35.455,919810.0,000651
2017-06-22,36.802,36.878,37.881,36.659,1281862.0,000651
2017-06-23,36.811,38.206,38.272,36.477,1096280.0,000651
2017-06-26,38.206,38.807,39.686,38.015,1226117.0,000651
2017-06-27,38.931,39.562,39.628,38.483,756718.0,000651
2017-06-28,39.428,38.54,39.686,38.301,898195.0,000651
2017-06-29,38.826,38.673,38.96,38.148,706817.0,000651
2017-06-30,38.635,39.313,39.686,38.349,828784.0,000651
2017-07-03,39.437,38.664,39.676,38.282,739926.0,000651
2017-07-04,38.673,38.072,38.721,37.127,1048293.0,000651
2017-07-05,38.11,39.26,39.3,37.2,959118.0,000651
2017-07-06,39.4,39.2,39.6,38.66,713318.0,000651
2017-07-07,38.9,38.41,39.09,38.21,669681.0,000651
2017-07-10,38.5,39.06,39.37,38.46,659076.0,000651
2017-07-11,39.3,41.53,41.65,39.18,1428060.0,000651
2017-07-12,41.53,40.79,41.75,40.43,860734.0,000651
2017-07-13,40.77,41.01,41.38,40.46,507538.0,000651
2017-07-14,40.82,41.08,41.33,40.4,441473.0,000651
2017-07-17,41.08,41.06,41.69,40.4,783226.0,000651
2017-07-18,40.6,40.23,41.02,39.71,728729.0,000651
2017-07-19,40.0,39.99,40.85,39.75,789621.0,000651
2017-07-20,39.99,41.04,41.3,39.75,913578.0,000651
2017-07-21,41.0,40.71,41.21,40.53,523515.0,000651
2017-07-24,40.7,41.3,41.79,40.36,754138.0,000651
2017-07-25,41.29,41.02,41.55,40.93,466003.0,000651
